Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Dyondre Dominguez,ARKST,PF,37,25.2,10.3,3.5,8.2,0.424,1.6,4.8,0.339,1.7,2.2,0.756,1.5,4.3,5.8,1.5,0.7,0.5,1.6,1.9,
Devin McGlockton,BOS,PF,36,29.9,10.2,4.1,7.2,0.575,0.6,1.7,0.367,1.3,1.8,0.727,2.6,3.6,6.3,1.3,0.6,0.8,1,3.1,
Dyson Koehler,WEBER,PF,32,30.4,10.2,3.2,7.6,0.417,1.5,4.6,0.333,2.4,3.3,0.731,1.3,2.6,3.9,0.7,1.3,0.3,0.5,1.6,
Jahlil White,TEM,PF,28,23.7,10.1,3.7,8,0.462,0.1,0.9,0.16,2.6,4,0.661,1.5,3.9,5.5,1.5,0.8,0.3,1.7,2.6,
Ian Schieffelin,CLEM,PF,36,27.3,10.1,3.8,6.8,0.564,0.6,1.4,0.469,1.9,2.6,0.731,2.8,6.7,9.4,2.2,0.6,0.5,1.3,2.6,
Jaylen Searles,UTECH,PF,30,28.5,10.1,3.6,9.3,0.392,1.3,3.8,0.336,1.6,2.7,0.6,1,3.9,4.9,1.7,1.2,0.4,2.1,2.4,
Zach Edey,PURD,C,39,32,25.2,8.6,13.8,0.623,0,0.1,0.5,7.9,11.2,0.711,4.6,7.5,12.2,2,0.3,2.2,2.3,1.9,
Jaedon LeDee,SDSU,C,36,32.7,21.4,7.3,13.1,0.56,0.6,1.3,0.444,6.3,8.6,0.734,3.4,5,8.4,1.3,1.2,0.5,2.4,2.4,
B.J. Freeman,UWM,C,27,32.1,21.1,7,16.6,0.422,2.4,7,0.351,4.7,5.7,0.824,1.2,5.4,6.6,4.1,1.1,0.4,3.6,1.7,
Drew Pember,UNCA,C,33,30.6,20.6,5.8,12.6,0.464,2,5.5,0.366,6.9,8.2,0.844,1.4,6.8,8.2,3.5,1,1.9,2.7,1.9,
DaRon Holmes II,DAY,C,33,32.4,20.4,6.6,12.1,0.544,1,2.5,0.386,6.2,8.8,0.713,1.7,6.8,8.5,2.6,0.9,2.1,2.2,2,
Mervin James,RIDER,C,32,31.8,18.9,7,13.4,0.519,0.7,1.4,0.467,4.3,5.1,0.848,2,4.1,6.1,1.9,1,0.9,2.8,3,
Basheer Jihad,BLLST,C,30,32.6,18.6,5.9,13,0.451,1.3,3.8,0.354,5.6,7.4,0.749,2,6,8,1.8,1.1,1.1,3.4,3.1,
P.J. Hall,CLEM,C,36,28.9,18.3,6.7,13.7,0.488,1.4,4.6,0.315,3.5,4.5,0.779,1.6,4.8,6.4,1.4,0.8,1.4,1.9,3.1,
Hunter Dickinson,KU,C,33,32.3,17.9,7.6,13.8,0.548,0.7,2,0.354,2.1,3.3,0.624,2.6,8.4,10.9,2.3,0.9,1.4,1.8,2.2,
Darlinstone Dubar,HOF,C,33,34.6,17.8,6.8,12.5,0.539,2.2,5.5,0.399,2.1,2.8,0.734,1.6,5.2,6.8,1.4,1.2,0.9,1.4,1.7,
Great Osobor,USU,C,35,33.6,17.7,6.2,10.8,0.577,0.1,0.4,0.214,5.2,8.1,0.637,2.7,6.3,9,2.8,1.3,1.4,2.8,2.5,
Dawson Garcia,MINN,C,31,31.9,17.6,6,12.4,0.486,0.9,2.9,0.319,4.6,5.7,0.802,1.7,5,6.7,1.6,0.8,1,2,2.3,
Robbie Avila,INDST,C,37,31.2,17.4,6.1,11.3,0.536,1.6,4.2,0.394,3.6,4.5,0.808,1.2,5.4,6.6,4.1,0.7,0.6,1.8,2.6,
Ryan Kalkbrenner,CREI,C,35,34.7,17.3,6.9,10.7,0.646,0.5,1.5,0.296,3,4.3,0.711,2.5,5.1,7.6,1.3,0.4,3.1,1.5,1.9,
Michael Ajayi,PEPP,C,33,34.7,17.2,6.2,13.4,0.467,1.2,2.5,0.47,3.5,5,0.709,2.3,7.6,9.9,1.9,0.9,0.5,2,2.5,
Jy'Are Davis,DEL,C,32,33.3,17.1,6.3,13.4,0.466,0.6,2.4,0.256,4,4.9,0.814,1.6,5.9,7.5,2.4,0.8,0.8,1.8,2.2,
Norchad Omier,UMFL,C,31,30.6,17,6.4,11.6,0.552,0.8,2.2,0.353,3.5,4.6,0.75,3.4,6.6,10,1.2,1.5,0.8,2.3,2.9,
Quinten Post,BOS,C,35,31.9,17,6.3,12.3,0.514,1.4,3.3,0.431,2.9,3.5,0.821,2,6.1,8.1,2.9,0.9,1.7,2.5,2.9,
Malik Dia,BLMNT,C,33,23.1,16.9,6.4,13,0.488,1.3,3.9,0.341,2.9,4.5,0.638,1.4,4.4,5.8,1.2,0.8,0.8,2.7,2.4,
Eric Dixon,VILL,C,34,30.5,16.6,5.7,12.2,0.465,1.6,4.7,0.346,3.7,4.3,0.862,2.1,4.4,6.5,1.7,0.8,0.4,1.8,1.9,
Caden Pierce,PRIN,C,29,32.9,16.6,6.1,11.2,0.546,0.9,2.7,0.342,3.4,4.4,0.767,2,7.2,9.2,3.2,1.2,0.5,1.8,1.9,
Keyshawn Hall,GMU,C,29,30.8,16.6,5.6,11.9,0.474,1.4,4,0.357,3.9,4.7,0.844,1.1,7,8.1,1.4,0.4,0.3,2.3,2.1,
Johni Broome,AUB,C,35,24.7,16.5,6.2,11.4,0.548,0.8,2.3,0.354,3.2,5.2,0.615,2.5,6.1,8.5,2.2,0.9,2.2,1.6,2.4,
Kyle Filipowski,DUKE,C,36,30.4,16.4,6.1,12.1,0.506,1.1,3.1,0.348,3.1,4.6,0.671,2.2,6.1,8.3,2.8,1.1,1.5,2.1,3,
Ansley Almonor,FDU,C,32,32,16.4,5.6,12.8,0.436,2.9,7.4,0.394,2.4,3,0.8,0.9,4.2,5.1,1.7,0.5,0.7,1.6,2.3,
Matt Rogers,AMERU,C,31,28.2,16.3,6.1,12.2,0.501,1.6,4.3,0.368,2.5,3.5,0.731,1.7,4.5,6.2,1.6,0.8,0.5,2,2.5,
Achor Achor,SAMF,C,33,22.6,16.1,5.8,9.9,0.586,0.8,1.9,0.435,3.7,5.2,0.712,2.2,3.9,6.1,1.5,0.8,1.8,1.9,2.9,
Josh Oduro,PROV,C,34,30.1,15.9,5.9,11.3,0.527,0.5,1.6,0.291,3.6,4.4,0.819,2.3,5.2,7.5,2,0.9,1.3,2.1,3.2,
Josh Cohen,UMass,C,31,28.9,15.9,5.4,9.9,0.544,0.4,1,0.344,4.8,6.9,0.696,2.5,4.3,6.8,1.7,0.9,0.5,1.5,2.5,
Kel'el Ware,IU,C,30,32.2,15.9,6.3,10.7,0.586,0.6,1.3,0.425,2.8,4.5,0.634,2.1,7.8,9.9,1.5,0.6,1.9,1.6,2,
Chaunce Jenkins,ODU,C,31,32,15.9,5.3,13.2,0.402,1.5,4.7,0.324,3.8,5.3,0.724,0.6,3.2,3.8,2.7,0.9,0.9,2.6,2.7,
Jeremiah Kendall,ALCST,C,29,24.6,15.8,6.1,11.7,0.521,0,0.2,0,3.6,4.8,0.755,2.6,4.2,6.7,1.2,0.8,0.6,1.6,3,
Vladislav Goldin,FAU,C,34,24.9,15.7,6,8.9,0.673,0,0,0,3.7,5.6,0.663,2.5,4.4,6.9,0.7,0.5,1.6,1.6,2.2,
Luke Sutherland,MOYNE,C,32,27.3,15.5,5.8,11.9,0.489,2,5.1,0.396,1.8,2.2,0.855,0.9,3.5,4.4,1.8,0.4,0.8,1.6,1.5,
Maxime Raynaud,STAN,C,32,29.3,15.5,6.3,11.1,0.567,0.7,1.9,0.361,2.2,2.8,0.784,2.3,7.3,9.6,2,0.7,0.8,2.5,2.3,
Allan Jeanne-Rose,CCSU,C,30,29.8,15.4,5.5,10,0.548,0.7,1.8,0.382,3.7,5.2,0.716,1.5,3.3,4.8,1.7,0.6,0.7,1.6,2.2,
Jahsean Corbett,CHIST,C,32,35.5,15.4,5.7,12.3,0.459,0.8,2.7,0.287,3.3,4.7,0.695,2.4,5.3,7.7,1.6,0.9,0.1,2,1.7,
Touko Tainamo,DEN,C,34,29.5,15.2,5.4,11.5,0.467,1,3,0.343,3.5,4.8,0.728,2.4,5.4,7.7,0.6,0.4,0.6,1.2,1.9,
Daniel Batcho,LATCH,C,28,29.7,15.2,5.8,9.8,0.59,0,0.1,0,3.7,5.5,0.669,3.9,6,9.8,0.4,0.5,2.4,2,2.5,
Jesse Edwards,WVU,C,23,28.2,15,5.8,9.4,0.613,0,0.2,0,3.5,6.7,0.523,3.2,4.9,8,1.2,0.6,1.7,1.9,3,
Tymu Chenery,BNGH,C,27,31.1,14.9,5.5,10.7,0.51,1.2,4,0.303,2.7,3.8,0.709,1.1,3.9,5,1.5,0.5,1.5,2.4,2.5,
Kyrese Mullen,HMPTN,C,27,29.2,14.8,5.6,12.3,0.458,1.2,4.1,0.297,2.3,4.1,0.573,2.6,5.8,8.4,1.5,0.7,0.1,2.6,2.9,
Olivier Nkamhoua,MICH,C,26,33.5,14.8,5.9,11.6,0.512,1,3.1,0.333,1.9,2.8,0.671,1.9,5.2,7.1,2.7,0.6,0.8,2.8,2.4,
Nana Owusu-Anane,BRWN,C,31,32.6,14.7,5.2,11.2,0.468,0.7,2.3,0.31,3.6,5.2,0.685,3.3,5.5,8.8,2.1,1.3,1,1.8,3,
Brandon Noel,WRST,C,31,34.4,14.5,5.4,10,0.535,1,2.6,0.4,2.8,3.5,0.798,1.8,6.2,8,1.6,0.8,0.8,1.8,2.4,
Fardaws Aimaq,Cal,C,32,32.1,14.5,5.6,12.1,0.464,0.5,1.7,0.302,2.8,4.3,0.65,3.5,7.5,11,2.1,0.9,1,2.5,3,
Yohan Traore,UCSB,C,30,28.8,14.5,5.3,9,0.583,0,0.2,0,3.9,5.7,0.686,1.6,3.5,5.1,0.4,0.2,0.4,1.7,2,
Taje' Kelly,CHASO,C,30,30.7,14.4,5.5,11.5,0.475,0.5,1.3,0.385,3,4.5,0.672,2.3,5.3,7.6,1.5,0.4,0.5,2.8,2.6,
Peter Filipovity,MAINE,C,32,27.1,14.4,5.5,9.8,0.562,0.3,1.4,0.244,3.1,4.1,0.754,1.9,5.8,7.6,0.9,1.2,0.2,1.3,1.8,
Lahat Thioune,SODAK,C,31,26.9,14.3,6.1,10.6,0.573,0,0,0,2.1,2.9,0.714,3.4,5.9,9.3,0.8,0.5,0.5,2.7,2.4,
Seth Towns,HWRD,C,32,32.4,14.2,4.1,11.2,0.368,2.1,6.1,0.347,3.8,4.6,0.842,1.2,5.4,6.5,2.5,1,0.4,2,3,
Kyle Rode,LBRTY,C,32,30.6,14.2,4.8,12.1,0.401,3.1,8.1,0.388,1.4,1.8,0.759,1,3.9,4.9,2.5,0.8,0.1,1.1,2.1,
Kelton Talford,WIN,C,31,27.1,14.1,4.9,7.9,0.624,0.1,0.3,0.25,4.2,6.1,0.691,2.1,3.6,5.7,1.1,0.5,0.6,2.1,2,
Danny Wolf,YALE,C,32,30.8,14.1,5.5,11.7,0.472,0.9,2.6,0.345,2.2,3.1,0.717,2,7.7,9.7,2.4,1,1.3,2.3,2,
Devontae Blanton,EKU,C,30,30.5,14,5.6,13.4,0.419,0.5,1.7,0.308,2.2,3.2,0.698,1.7,3.6,5.3,2.5,0.7,0.3,1.9,1.5,
Jaylen Forbes,TULAN,C,30,33.9,14,4.4,11.4,0.382,2.6,7.3,0.352,2.7,3.6,0.766,0.7,3.1,3.8,1.8,1.4,0.3,1.9,2.7,
Brandon Johnson,ECAR,C,31,34.7,14,4.6,11.1,0.42,2.1,5.7,0.365,2.6,3.6,0.739,2.5,6.1,8.6,1.6,1.7,0.5,1.7,2.2,
Joel Soriano,STJ,C,33,28.2,13.8,5.1,8.8,0.577,0.2,0.5,0.438,3.4,4.9,0.702,3.7,5.7,9.5,1.5,0.2,1.7,1.2,2.5,
Beau Becker,AF,C,31,30,13.8,5.4,11,0.485,2.4,6,0.396,0.7,1,0.71,0.9,3.4,4.4,1.5,0.5,0.8,1,2.4,
Malevy Leons,BRDLY,C,35,34.5,13.8,4.5,9.2,0.488,1.2,3.6,0.341,3.6,4.6,0.783,2.4,4.7,7.1,1.3,1.5,1.5,1.7,2.8,
"Jerome Brewer, Jr.",TAMUC,C,19,29.5,13.8,5.2,10.5,0.49,1.4,4.6,0.299,2.1,2.8,0.741,1.1,3.6,4.7,0.6,0.9,1.5,1.5,2.1,
Skylar Wicks,UIW,C,30,27.6,13.7,4.8,12.1,0.396,1.4,4.5,0.311,2.7,3.8,0.726,1.6,5,6.6,1.8,0.9,0.6,3.2,2,
Julian Reese,UMD,C,32,31.9,13.7,5,9.1,0.546,0,0,0,3.8,6.7,0.568,3,6.5,9.5,1.3,1,1.9,2.5,2.9,
Nico Galette,HEART,C,31,27.9,13.5,5.2,12.3,0.421,1,3,0.323,2.2,3.6,0.613,1.6,5.6,7.3,2.1,1.9,0.5,2.2,2.2,
K.J. Allen,PORTL,C,30,27.1,13.5,4.3,9.8,0.442,0.9,2.3,0.386,4,5.1,0.783,2.2,5.2,7.4,1.2,1,0.2,1.5,1.6,
Garrett Johnson,GW,C,23,29.2,13.4,4.3,10,0.428,2.3,5.6,0.403,2.7,3,0.871,1,4.6,5.6,1,0.8,0.3,1.6,1.9,
Oso Ighodaro,MARQ,C,36,32.5,13.4,5.4,9.4,0.576,0,0.1,0,2.5,4.1,0.623,2.6,4.3,6.9,2.9,1.1,1.3,1.8,2.2,
Chad Venning,STBN,C,33,24.1,13.4,5.3,10.1,0.529,0,0.1,0,2.7,3.8,0.709,1.5,3.1,4.6,0.5,0.4,1.6,2.2,3.1,
T.J. Bickerstaff,JMU,C,36,23.4,13.3,5.2,8.4,0.619,0,0.1,0,2.9,4.8,0.62,2.6,5.8,8.4,1.7,1.1,0.4,1.8,2.4,
Troy Hupstead,UMES,C,26,25.8,13.3,4.7,10.8,0.438,0.8,2.5,0.328,3,4.3,0.696,2.7,5.8,8.5,1.1,0.6,0.6,2.2,3,
Cooper Schwieger,VAL,C,31,29.9,13.2,5.1,10.2,0.502,1.1,2.9,0.363,1.9,2.5,0.789,1.9,3.5,5.4,1,0.4,0.9,1.6,2.5,
Parsa Fallah,SUU,C,25,27.6,13.2,5.7,10,0.57,0.1,0.7,0.176,1.7,2.5,0.667,2.6,3.4,6,1.6,0.6,0.3,2.8,2.6,
Lynn Kidd,VT,C,33,23.2,13.2,5.4,8,0.668,0,0,0,2.4,2.9,0.842,1.5,5,6.5,1.1,0.5,0.4,1.3,2,
William Kyle III,SDKSU,C,35,27.7,13.1,5.6,8.9,0.623,0,0,0,2,3.4,0.58,2.2,4.4,6.6,1.7,0.3,1.6,1.4,1.5,
D.J. Burns,YSU,C,32,28.8,13.1,4.7,9,0.517,1,3,0.323,2.8,3.3,0.84,3.2,7.9,11,2.5,1,0.7,1.5,2.5,
Donovan Clingan,UConn,C,35,22.6,13,5.3,8.3,0.639,0.1,0.2,0.25,2.3,4,0.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2,
Kasean Pryor,USOFL,C,32,26.3,13,4.1,9.1,0.447,1.2,3.3,0.352,3.7,4.6,0.815,1.5,6.4,7.9,1.8,1.2,0.7,1.7,2.2,
Oumar Ballo,ARZ,C,36,25.9,12.9,5.1,7.8,0.658,0,0,0,2.6,5.3,0.495,3.6,6.6,10.1,0.8,0.9,1.3,1.4,2.1,
Brandon Huntley-Hatfield,LVILL,C,32,30.8,12.9,4.9,8.7,0.567,0.3,0.7,0.429,2.8,4.2,0.672,2.6,5.8,8.4,1,0.6,0.8,1.7,2.3,
"D.J. Burns, Jr.",NCST,C,41,24.9,12.9,5.6,10.6,0.531,0,0.1,0.2,1.6,2.4,0.68,1.3,2.7,4,2.9,0.4,0.6,1.9,2.4,
Andrew Morgan,NDSU,C,32,23.3,12.9,4.6,8.3,0.556,0.4,1,0.364,3.3,4.6,0.703,1.9,3.1,5,1,0.3,0.3,2,2.4,
Sai Witt,APSU,C,34,21.4,12.8,4.4,8.2,0.536,0,0,0,3.9,6.3,0.623,2.9,2.7,5.6,0.7,0.6,0.4,1.7,2.8,
Anderson Mirambeaux,MIAMI,C,23,21,12.7,4.8,9.8,0.487,0.8,2.3,0.346,2.4,4,0.591,0.8,2.7,3.4,1.8,0.5,0.6,2,2.3,
O'Mar Stanley,BOISE,C,33,26.3,12.7,4.6,8.6,0.537,0.5,1.5,0.313,3.1,4,0.759,2.8,3.8,6.6,1.5,0.7,1.2,1.8,3.1,
Reed Bailey,DAV,C,32,28.3,12.7,4,9.5,0.424,0.4,1.9,0.217,4.2,5.3,0.804,1.8,4,5.8,1.4,0.7,0.3,1.6,2.6,
Demond Robinson,KENN,C,31,27.3,12.6,5.2,9.8,0.525,0.9,2.9,0.326,1.4,2.2,0.627,2.9,4.5,7.4,0.9,1.1,0.9,1.2,2.5,
Chris Payton,KENT,C,28,27,12.6,4.4,9,0.49,0.3,0.8,0.381,3.5,5.2,0.678,2.5,4.9,7.4,1.5,0.9,1.1,1.9,2.2,
John Ojiako,CCU,C,30,27.3,12.6,5.3,8.4,0.637,0,0,0,1.9,3.3,0.592,3.4,7.3,10.6,0.9,0.8,1,1.6,2.9,
Jonathan Beagle,ALBNY,C,22,30.7,12.5,4.9,8.3,0.585,0,0.3,0.143,2.8,4.1,0.67,2.8,6.7,9.5,1.6,1,0.4,2.8,2.2,
Neal Quinn,RICH,C,33,27.6,12.5,5.4,10.2,0.53,0.2,0.4,0.357,1.5,2.1,0.729,1,4.4,5.4,3.9,0.5,1.3,1.7,2.2,
Carson Basham,NAU,C,33,24.6,12.4,5.1,8.7,0.587,0,0.2,0,2.2,3.9,0.57,1.8,4.9,6.7,1.2,0.7,1.6,2,2.9,
Adem Bona,UCLA,C,33,26.6,12.4,4.6,7.9,0.588,0,0,0,3.1,4.5,0.696,2,3.9,5.9,1.2,1.1,1.8,2.5,3.6,
Baye Ndongo,GT,C,29,27.8,12.4,5.1,9.1,0.558,0.1,0.4,0.333,2,3,0.67,2.6,5.7,8.2,1,0.8,1.1,2.6,2.8,
Myles Foster,ILLST,C,32,28.3,12.4,4.8,9.2,0.525,0,0.4,0.077,2.7,4.2,0.634,2.6,5.5,8.1,1.7,0.7,0.8,1.6,2,
J.T. Toppin,UNM,C,36,26.6,12.4,5.4,8.6,0.623,0.3,0.9,0.344,1.3,2.4,0.565,3.7,5.4,9.1,0.6,1.1,1.9,0.9,2.6,
Rienk Mast,UNL,C,32,29.8,12.3,4.6,10.7,0.433,1.3,3.8,0.344,1.8,2.1,0.838,1.9,5.6,7.5,3,0.4,0.5,1.8,2,
Noah Williamson,BUCK,C,32,27.2,12.3,4.6,9.2,0.495,0.8,2.3,0.329,2.5,3.8,0.642,1.7,4.7,6.4,1.2,0.3,1,2,2.5,
Ven-Allen Lubin,VANDY,C,26,28.1,12.3,4.5,9.1,0.5,0.5,1.5,0.333,2.7,3.7,0.732,2.5,3.9,6.3,0.5,0.6,1,1.2,2,
Nick Davidson,UNR,C,34,29,12.2,4.4,8.1,0.545,0.8,2.6,0.292,2.6,3.4,0.757,1.8,5.5,7.3,1.4,0.7,0.7,1.3,2.5,
Harrison Ingram,UNC,C,37,32.7,12.2,4.4,10.2,0.43,1.8,4.6,0.385,1.6,2.6,0.612,2.6,6.2,8.8,2.2,1.4,0.4,1.4,1.9,
Javan Simmons,U of T,C,32,31,12.2,4.7,8.6,0.54,0.3,0.8,0.32,2.6,3.6,0.737,2,3,5,1.5,0.5,0.9,1.1,3.1,
Amari Williams,DREX,C,32,22.8,12.2,4.3,8.4,0.517,0,0.1,0.333,3.4,5.3,0.655,2.5,5.3,7.8,1.9,0.8,1.8,2.4,1.4,
Keeshawn Kellman,FGCU,C,32,24.6,12.2,5,7.3,0.684,0,0.2,0,2.2,3.1,0.69,3.1,3.9,7,0.9,0.3,1.2,2,2.6,
Ethan Price,EWASH,C,32,26.1,12.2,4.2,8.1,0.521,1.3,3.3,0.374,2.5,3.2,0.782,0.5,3.6,4,2.2,0.5,0.8,2.2,2.3,
Alex Merkviladze,LOYMR,C,30,30.9,12.1,4.1,10,0.41,1.7,4.8,0.352,2.2,3,0.744,1.3,5.9,7.2,1.5,0.6,0.3,1.4,2.2,
Shemar Wilson,UTA,C,34,29.9,12.1,4,7.7,0.517,0.1,0.6,0.227,3.9,5.6,0.705,2.8,4.9,7.7,1.3,0.7,1.9,1.7,3.2,
Coleman Hawkins,ILL,C,35,31.7,12.1,4.1,9.1,0.451,1.7,4.6,0.369,2.2,2.7,0.792,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,
KiAndre Gaddy,TARST,C,35,28.1,12.1,4.9,8.8,0.558,0,0.1,0,2.3,3.5,0.648,3.8,3,6.8,1.1,1,1.5,1.5,3.3,
A.J. Clayton,OHIO,C,33,26.3,12,4.2,8.4,0.496,2.2,5.5,0.401,1.5,1.8,0.814,1.4,3.3,4.7,0.8,0.5,1.8,1,2.4,
Tana Kopa,LIU,C,29,32.3,12,4.2,11.3,0.376,2.1,6.4,0.33,1.4,1.7,0.833,0.5,3.4,3.9,1.1,0.8,0.6,1.7,1.9,
Caleb Kenney,HC,C,33,27,11.9,5.3,9.2,0.576,0,0,0,1.4,2.4,0.582,2.3,4.2,6.5,1.4,0.8,2.2,1.8,3,
Brian Myles,PVAMU,C,30,29.5,11.9,4.8,8.5,0.559,0.2,0.7,0.35,2.2,3,0.714,2.4,6.9,9.3,1.2,1.4,1.1,1.7,3.4,
Lassina Traore,LBSU,C,35,30.3,11.9,4.4,8.4,0.524,0,0.1,0.25,3.1,4.4,0.697,3.4,7,10.3,1.2,0.8,0.5,1.9,3.2,
Ben Burnham,C of C,C,35,22.1,11.9,4.5,9.7,0.464,1.3,3.6,0.368,1.6,2.3,0.695,1.7,2.9,4.5,0.9,0.9,0.5,1,1.6,
Grant Nelson,UA,C,37,25.6,11.9,3.9,8,0.488,0.8,3,0.273,3.3,4.1,0.813,1.6,4.3,5.9,1.5,0.6,1.6,1.4,3.1,
Hosana Kitenge,LA,C,33,26.3,11.9,4.7,8.4,0.562,0,0.1,0.333,2.5,3.9,0.633,2.7,3.8,6.5,1.9,1.2,0.9,1.6,3.2,
Mitchell Saxen,STMRY,C,34,28.2,11.8,4.6,8.4,0.544,0,0,0,2.6,4.3,0.612,3.7,3.9,7.6,1.5,0.7,1.3,1.6,2.6,
Jaxson Baker,NEWHA,C,31,30.2,11.7,3.9,9.5,0.416,2.1,5.9,0.359,1.7,2.2,0.806,2,4.6,6.6,0.7,1.1,0.7,0.8,2.4,
Bernardo Da Silva,HAW,C,34,26.8,11.7,4.4,7.4,0.604,0,0,0,2.9,5.6,0.513,2.2,4.8,7,1.2,0.6,0.8,1.2,3,
Aubin Gateretse,STET,C,35,24.1,11.6,4.7,6.5,0.712,0,0.1,0.5,2.3,3.7,0.62,3,4.6,7.6,0.8,0.5,1.5,1.7,3.2,
DeAntoni Gordon,UALR,C,33,30.8,11.6,4.9,9.4,0.521,0.3,0.9,0.345,1.5,2.3,0.68,1.6,3.2,4.7,1.3,0.8,0.8,1.4,2.2,
Dischon Thomas,MONT,C,36,27.8,11.6,4,8.7,0.458,1.6,3.9,0.408,2,2.5,0.791,1.3,4.1,5.4,1.6,0.6,1,1.3,2,
Tanner Christensen,UTECH,C,31,30.2,11.5,4.3,7.6,0.564,0.2,1.1,0.176,2.7,4.5,0.6,2.1,4.6,6.8,2,0.5,1.5,2.2,3.8,
B.J. McLaurin,QUC,C,33,25.2,11.5,3.8,8.9,0.422,1.5,4.4,0.345,2.4,3.1,0.784,1.2,4.7,5.9,1.1,0.5,0.2,0.9,2.1,
Nick Ellington,MRRY,C,32,27.4,11.4,4.8,8.2,0.59,0,0,0,1.8,3.5,0.518,2.8,3.5,6.3,0.7,0.8,1.5,1.8,2.8,
Max Allen,MRST,C,28,22.4,11.4,4.5,8.8,0.518,0.1,0.5,0.2,2.3,3.4,0.656,1.1,2.7,3.8,1.9,0.6,0.3,1.8,2.4,
Jonas Aidoo,TENN,C,36,24.9,11.4,4.8,9.3,0.515,0.1,0.4,0.2,1.7,2.8,0.626,2.8,4.5,7.3,1,0.7,1.8,1,2.2,
Tibet Gorener,SJSU,C,32,33.3,11.4,4,10.1,0.395,2,5.8,0.339,1.4,2,0.73,1.1,2.8,3.9,0.8,0.5,0.3,1.1,1.8,
Darnell Brodie,DRAKE,C,34,25.2,11.4,4.7,7.5,0.625,0,0,0,2,3,0.65,2.3,5.6,7.9,1.9,0.6,0.6,1.9,2.8,
Daniel Rouzan,MAN,C,27,29.6,11.4,5,9.5,0.527,0,0,0,1.4,2.1,0.638,1.7,3,4.6,1.8,0.4,0.6,1.5,2,
Dishon Jackson,CHAR,C,30,26.4,11.4,4.4,8,0.544,0.1,0.5,0.133,2.6,3.6,0.72,1.7,4.4,6.1,1.7,0.6,0.9,1.3,2.1,
Francis Nwaokorie,UCSD,C,33,31.4,11.3,3.7,8.2,0.456,1.5,4.5,0.34,2.3,2.9,0.794,1.6,3.9,5.5,0.9,0.7,0.7,1.5,2.8,
Kiree Huie,IDHST,C,34,26.9,11.3,4.9,9.1,0.536,0,0.1,0,1.6,2.7,0.587,2.1,3.6,5.8,0.7,0.6,1.2,1.7,2.1,
Giovanni Emejuru,SIENA,C,32,26.8,11.3,4.1,7.2,0.568,0,0,0,3.1,5.2,0.599,2.9,3.3,6.3,0.6,0.8,0.6,1.7,2.7,
Steven Crowl,UWISC,C,36,28.9,11.2,4.3,7.8,0.556,0.7,1.6,0.448,1.8,2.5,0.742,2.4,4.9,7.3,2.1,0.3,0.5,1.7,2.6,
Quentin Millora-Brown,CTDL,C,32,32.3,11.2,4.4,7.5,0.594,0.1,0.6,0.15,2.2,4,0.547,3.2,6.2,9.4,2,0.7,1.5,1.7,2.3,
Julius Mims,IDAHO,C,32,27.6,11.1,4.7,7.4,0.633,0.6,1.7,0.333,1.2,2.1,0.559,1.8,5.4,7.2,1,1.1,1.5,1.4,2.4,
Toby Okani,UIC,C,33,32.3,11.1,4.2,10.7,0.394,1,3.1,0.32,1.7,3,0.571,1.5,5.3,6.8,1.9,1.5,2,2.6,2.9,
Issa Muhammad,UTM,C,28,29.5,11.1,4.6,9,0.51,0.1,0.5,0.267,1.8,2.8,0.62,2.8,6.5,9.4,1.8,0.9,0.8,1.7,2.1,
Keegan Records,COLGT,C,33,25.6,11,4.5,8,0.567,0.2,0.6,0.238,1.8,2.5,0.735,2.2,3.9,6.2,1.2,0.6,1.2,1.2,2.4,
Jared Jones,MTSU,C,33,28.1,11,3.8,8.5,0.452,0.6,1.3,0.442,2.8,3.6,0.771,1.8,5.8,7.6,2.3,0.6,1.1,3.2,2.5,
Will Baker,LSU,C,33,23.5,11,4,8,0.502,0.8,2.1,0.357,2.2,3.1,0.723,1.7,3.1,4.8,0.8,0.3,0.6,1.8,1.9,
Paul Otieno,QUIN,C,34,27.1,11,4.6,7.2,0.638,0.1,0.2,0.333,1.7,2.6,0.678,3.4,3.6,6.9,0.5,1.2,1,1.2,2.5,
Keenan Fitzmorris,SB,C,35,24.7,10.9,3.9,7.7,0.509,0.3,0.8,0.333,2.8,3.7,0.767,2.1,2.3,4.4,1,0.3,1.1,1.4,2.1,
Yacine Toumi,UE,C,33,25.1,10.8,4.5,8.4,0.543,0.2,0.8,0.214,1.6,2.7,0.584,1.3,5.2,6.5,1.5,0.7,0.5,2.2,2.8,
Daylen Williams,UTRGV,C,31,33.6,10.8,3.3,7.3,0.456,0.4,1.4,0.256,3.8,5,0.768,1.5,5.7,7.2,2.5,1.3,0.5,2.4,2.2,
Dane Erikstrup,EWASH,C,32,18.8,10.8,3.5,8,0.432,1.2,3.6,0.342,2.7,3,0.876,1.1,2.2,3.3,1.6,0.8,0.5,1.4,3.1,
